WORK_SPACE_ID,NAME,ADDRESS,X_COORD,Y_COORD,URL,AREA_GROUP
1382,디노플레이스 대구두류점,대구 달서구 두류공원로 242,128.5597518,35.85527063,http://place.map.kakao.com/1125013865,경상도
1383,저스트워크 1호점,대구 달서구 성서4차첨단로 206,128.519534,35.83019954,http://place.map.kakao.com/1494086103,경상도
1384,슈가맨워크 창원합성점,경남 창원시 마산회원구 3.15대로 732,128.5821331,35.23729988,http://place.map.kakao.com/827128522,경상도
1385,디노플레이스 명덕점,대구 중구 명덕로 199,128.5921653,35.85704148,http://place.map.kakao.com/99605164,경상도
1386,오피스더 수성,대구 수성구 수성로69길 14,128.6134432,35.85616281,http://place.map.kakao.com/570267407,경상도
1387,워크24 대구역점,대구 중구 태평로 168,128.595982,35.87459016,http://place.map.kakao.com/1839434818,경상도
1388,치즈스튜디오,대구 중구 국채보상로 529,128.5885904,35.87043927,http://place.map.kakao.com/536971768,경상도
1389,저스트워크 2호점,대구 달서구 성서4차첨단로 191,128.5185159,35.83048547,http://place.map.kakao.com/2007253563,경상도
1390,isc공유오피스 마산반월점,경남 창원시 마산합포구 문화북1길 13,128.5617374,35.18849869,http://place.map.kakao.com/1401365951,경상도
1391,스타박스,대구 남구 대명로 66,128.5648305,35.83893611,http://place.map.kakao.com/653786502,경상도
1392,그린투자그룹,대구 남구 대명서로 75-2,128.5595759,35.83176187,http://place.map.kakao.com/790429222,경상도
1393,워클라우드,경남 창원시 마산회원구 삼호로 38,128.5866158,35.22155433,http://place.map.kakao.com/1746636568,경상도
1394,스텝,대구 달서구 달구벌대로 1158,128.4939649,35.85109366,http://place.map.kakao.com/953550652,경상도
1395,범어제이에스공유오피스,대구 수성구 상록로16길 41,128.6260942,35.86579302,http://place.map.kakao.com/2130031275,경상도
1396,아고라,대구 수성구 동대구로 95,128.6234946,35.83923911,http://place.map.kakao.com/1152020185,경상도
